dtype,tasks,dim,num_transforms,mean_neighbors_target,max_neighbors,skew,pareto_alpha,seed,total_edges,mean_count,p90_count,max_count,chunk_tokens,persistent_blocks,variant,order,ticket_batch_size,ms,speedup_vs_static_node,max_abs_diff
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,192,persistent_chunked,identity,1,0.04325644969940186,1.373589337416435,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,192,persistent_node,identity,4,0.2046658992767334,0.29031019965495186,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,192,persistent_chunked,identity,4,0.04775645136833191,1.244158566626432,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,192,static_chunked,sorted,0,0.026984250545501708,2.2018991404411463,0.000213623046875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,192,persistent_node,sorted,1,0.061578601598739624,0.9648903440315356,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,192,persistent_chunked,sorted,1,0.042892399430274966,1.3852477098693252,0.000213623046875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,192,persistent_node,sorted,4,0.20015785694122315,0.2968486922751005,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,192,persistent_chunked,sorted,4,0.0414683997631073,1.4328162750675806,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,static_node,identity,0,0.05929855108261108,1.0,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,static_node,sorted,0,0.05617650151252747,1.0555757209157532,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,static_chunked,identity,0,0.027854299545288085,2.1288832263111854,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,persistent_node,identity,1,0.06839665174484252,0.866980320964067,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,persistent_chunked,identity,1,0.03805834949016571,1.558095710323272,0.000152587890625
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,persistent_node,identity,4,0.20296390056610109,0.2921630443503365,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,persistent_chunked,identity,4,0.042796400189399716,1.385596704867219,0.000213623046875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,static_chunked,sorted,0,0.02680625021457672,2.212116599969871,0.000213623046875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,persistent_node,sorted,1,0.061744552850723264,0.9603851407908685,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,persistent_chunked,sorted,1,0.03759034872055054,1.5774940403836353,0.000213623046875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,persistent_node,sorted,4,0.20052785873413087,0.29571228385394493,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,persistent_chunked,sorted,4,0.03924635052680969,1.5109315971201824,0.000152587890625
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,static_node,identity,0,0.06451259851455689,1.0,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,static_node,sorted,0,0.05564450025558472,1.1593706155727785,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,static_chunked,identity,0,0.027204251289367674,2.37141606392125,0.00018310546875
