dtype,tasks,dim,num_transforms,mean_neighbors_target,max_neighbors,skew,filter_ratio,transform_active_ratio,early_exit_ratio,pareto_alpha,seed,total_edges,mean_count,p90_count,max_count,chunk_tokens,capacity_scale,actual_work_size,work_capacity,capacity_actual_ratio,overflowed,persistent_blocks,metadata_builder,variant,worklist_builder,order,ticket_batch_size,gpu_kernel_ms,cpu_preprocess_ms,h2d_metadata_ms,gpu_preprocess_ms,gpu_metadata_ms,metadata_build_event_ms,worklist_build_ms,worklist_build_event_ms,level2_compute_ms,end_to_end_ms,speedup_vs_static_node,end_to_end_speedup_vs_static_node,max_abs_diff
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,1.25x,132,165,1.25,0,48,gpu,static_chunked_fixed,fixed,bucket,0,0.015220099687576294,0.0,0.0,0.26664300821721554,0.20092600607313216,0.11680100113153458,0.06571700214408338,0.037039998918771744,0.015220099687576294,0.28186310790479185,1.021819876099908,2.1605246837087164,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,2x,132,264,2.0,0,48,gpu,static_chunked_fixed,fixed,bucket,0,0.015220099687576294,0.0,0.0,0.2644880150910467,0.20092600607313216,0.11680100113153458,0.06356200901791453,0.03571999818086624,0.015220099687576294,0.279708114778623,1.021819876099908,2.17717030675757,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,4x,132,528,4.0,0,48,gpu,static_chunked_fixed,fixed,bucket,0,0.015528100728988647,0.0,0.0,0.2658710000105202,0.20092600607313216,0.11680100113153458,0.06494499393738806,0.03620000183582306,0.015528100728988647,0.28139910073950886,1.0015520022969595,2.164087235726037,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,8x,132,1056,8.0,0,48,gpu,static_chunked_fixed,fixed,bucket,0,0.015636099874973296,0.0,0.0,0.2649789967108518,0.20092600607313216,0.11680100113153458,0.06405299063771963,0.03572100028395653,0.015636099874973296,0.28061509658582506,0.9946342439190909,2.170133429969989,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,max,132,2048,15.515151515151516,0,48,gpu,static_chunked_fixed,fixed,bucket,0,0.01544010043144226,0.0,0.0,0.2648590016178787,0.20092600607313216,0.11680100113153458,0.06393299554474652,0.035920001566410065,0.01544010043144226,0.28029910204932096,1.0072603119418133,2.172579924811898,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,exact,132,132,1.0,0,48,gpu,persistent_chunked,gpu,bucket,1,0.024404199421405794,0.0,0.0,0.29968502349220216,0.20092600607313216,0.11680100113153458,0.09875901741907,0.07093100249767303,0.024404199421405794,0.324089222913608,0.6372755814864416,1.8790263884136904,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,exact,149,149,1.0,0,48,gpu,static_chunked,gpu,identity,0,0.015696099400520323,0.0,0.0,0.3049170190934092,0.193442014278844,0.14772099256515503,0.11147500481456518,0.0719200000166893,0.015696099400520323,0.3206131184939295,1.0,1.0,9.5367431640625e-07
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,1x,149,149,1.0,0,48,gpu,static_chunked_fixed,fixed,identity,0,0.015888099372386933,0.0,0.0,0.2597499988041818,0.193442014278844,0.14772099256515503,0.06630798452533782,0.03675999864935875,0.015888099372386933,0.27563809817656876,0.9879154852089923,1.1631669229140833,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,1.25x,149,187,1.25503355704698,0,48,gpu,static_chunked_fixed,fixed,identity,0,0.015780100226402284,0.0,0.0,0.2602300082799047,0.193442014278844,0.14772099256515503,0.06678799400106072,0.03816099837422371,0.015780100226402284,0.27601010850630703,0.9946767875566839,1.1615991900767766,9.5367431640625e-07
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2x,149,298,2.0,0,48,gpu,static_chunked_fixed,fixed,identity,0,0.015748099982738496,0.0,0.0,0.25899801403284073,0.193442014278844,0.14772099256515503,0.06555599975399673,0.03779999911785126,0.015748099982738496,0.27474611401557925,0.996697977389325,1.16694323281948,9.5367431640625e-07
