dtype,tasks,tile_tokens,dim,num_transforms,pattern,seed,lds_fits,policy,best_variant,global_ms,lds_ms,chunk2_ms,chunk4_ms,chunk8_ms,auto_ms,auto_speedup_vs_global,best_speedup_vs_global,auto_vs_best,max_abs_diff_auto
fp16,32,64,64,32,contiguous,0,1,graph_lds_chunked(chunk=2),chunk2,0.025092300772666932,0.08888909816741944,0.024120299518108367,0.024128299951553345,0.031300398707389834,0.02416429966688156,1.0384038072105704,1.040298059061366,0.9981791258435063,0.0
fp16,32,64,64,32,contiguous,1,1,graph_lds_chunked(chunk=2),chunk2,0.025024300813674925,0.08872110247612,0.024160300195217133,0.02422430068254471,0.031476399302482604,0.024120299518108367,1.0374788586222936,1.035761170659164,1.0016583822716933,0.0
fp16,32,64,64,32,contiguous,2,1,graph_lds_chunked(chunk=2),chunk4,0.024864299595355986,0.08794909715652466,0.024420300126075746,0.02369229942560196,0.03074040114879608,0.02366030067205429,1.0508868817852246,1.0494675568926652,1.0013524237917004,0.0
fp16,32,64,64,32,page-cross,0,1,graph_lds_chunked(chunk=2),chunk2,0.024308300018310545,0.08690109848976135,0.023684300482273102,0.023708300292491914,0.030704399943351744,0.02364429980516434,1.0280828875719625,1.0263465470092514,1.0016917683094184,0.0
fp16,32,64,64,32,page-cross,1,1,graph_lds_chunked(chunk=2),chunk4,0.02440029978752136,0.08666099905967713,0.02450830042362213,0.02365629971027374,0.03064039945602417,0.023596300184726714,1.0340731214851664,1.0314503995282283,1.0025427514092173,0.0
fp16,32,64,64,32,page-cross,2,1,graph_lds_chunked(chunk=2),chunk2,0.024716299772262574,0.0872970998287201,0.023524299263954163,0.023912300169467927,0.03053629994392395,0.023484300076961517,1.0524605669005938,1.050671031469783,1.0017032309611766,0.0
fp16,32,64,64,32,tail-negative,0,1,graph_lds_chunked(chunk=2),chunk2,0.024500299990177155,0.08710110187530518,0.02337229996919632,0.02390030026435852,0.03050040006637573,0.023368300497531892,1.0484416696355314,1.0482622601313303,1.0001711494451575,0.0
fp16,32,64,64,32,tail-negative,1,1,graph_lds_chunked(chunk=2),chunk4,0.02437230050563812,0.08783310055732726,0.024268299341201782,0.024072299897670745,0.030708399415016175,0.023348300158977507,1.0438575973277815,1.0124624821576107,1.0310086701714283,0.0
fp16,32,64,64,32,tail-negative,2,1,graph_lds_chunked(chunk=2),chunk2,0.024452300369739534,0.08726109862327576,0.02347629964351654,0.02403630018234253,0.03072429895401001,0.023364299535751344,1.0465668072917558,1.0415738741217053,1.0047936428649966,0.0
fp16,32,64,128,8,random,0,1,graph_global,global,0.01876419931650162,0.04491659998893738,0.021084199845790862,0.029084300994873045,0.04466859996318817,0.018556199967861176,1.0112091564544838,1.0,1.0112091564544838,0.0
fp16,32,64,128,8,random,1,1,graph_global,global,0.018080200254917144,0.04448060095310211,0.02076829969882965,0.028908398747444154,0.04449650049209595,0.01785220056772232,1.0127715172328424,1.0,1.0127715172328424,0.0
fp16,32,64,128,8,random,2,1,graph_global,global,0.018100200593471526,0.044484499096870425,0.020776200294494628,0.028980401158332825,0.04442450106143951,0.01782020032405853,1.015712520865154,1.0,1.015712520865154,0.0
fp16,32,64,128,8,contiguous,0,1,graph_global,global,0.018204200267791747,0.04454050064086914,0.02085629999637604,0.028980401158332825,0.04442450106143951,0.01785220056772232,1.019717440364515,1.0,1.019717440364515,0.0
fp16,32,64,128,8,contiguous,1,1,graph_global,global,0.018116199970245363,0.0445044994354248,0.020876200497150423,0.02907240092754364,0.04440850019454956,0.017932200431823732,1.0102608455176028,1.0,1.0102608455176028,0.0
fp16,32,64,128,8,contiguous,2,1,graph_global,global,0.01806419938802719,0.04442049860954285,0.020812200009822847,0.028964298963546752,0.04441249966621399,0.01779630035161972,1.0150536364926595,1.0,1.0150536364926595,0.0
fp16,32,64,128,8,page-cross,0,1,graph_global,global,0.01793230026960373,0.044392600655555725,0.021080300211906433,0.028820401430130003,0.04464850127696991,0.018060199916362762,0.9929181488936258,1.0,0.9929181488936258,0.0
fp16,32,64,128,8,page-cross,1,1,graph_global,global,0.01785220056772232,0.044308599829673764,0.02109230011701584,0.02880840003490448,0.044588598608970645,0.01804019957780838,0.9895788841317852,1.0,0.9895788841317852,0.0
fp16,32,64,128,8,page-cross,2,1,graph_global,global,0.01803620010614395,0.04442049860954285,0.02076829969882965,0.02889629900455475,0.04451259970664978,0.017832300066947936,1.0114343095635734,1.0,1.0114343095635734,0.0
fp16,32,64,128,8,tail-negative,0,1,graph_global,global,0.018528300523757934,0.04481660127639771,0.021068300306797027,0.029116401076316835,0.044688498973846434,0.018344199657440184,1.0100359170612865,1.0,1.0100359170612865,0.0
fp16,32,64,128,8,tail-negative,1,1,graph_global,global,0.018068200349807738,0.044388499855995175,0.020716199278831483,0.028816398978233338,0.044328498840332034,0.017744199931621553,1.0182595112450683,1.0,1.0182595112450683,0.0
